epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,system_crisis_region,system_normal_region,total_loss
0,0.009375843219459057,0.012704807333648205,0.002234215848147869,0.0006894571124576032,3.7313826084136963,0.054654695093631744,6.286469459533691
1,1.629177677386906e-05,0.00010423755884403363,0.0011616941774263978,0.0008267305674962699,3.234766721725464,4.097203054698184e-05,3.4457030296325684
2,0.0021708919666707516,4.931550574838184e-05,0.00037039248854853213,0.0003887592174578458,1.4096348285675049,0.0037675919011235237,1.7113384008407593
3,0.0010711190989241004,3.0203671485651284e-05,0.00025138480123132467,5.402553506428376e-05,0.31659597158432007,0.06446371227502823,0.5217329859733582
4,0.0001695058890618384,6.219922215677798e-05,0.00012050859368173406,1.8069002180709504e-05,0.08893624693155289,0.009063135832548141,0.1350276619195938
5,3.3788226573960856e-05,4.382189945317805e-05,4.554865518002771e-05,1.1406154953874648e-06,0.03215131163597107,0.004070528782904148,0.04865178093314171
6,1.18288344310713e-05,3.5038552596233785e-05,2.8816803023801185e-05,4.0720647120906506e-07,0.018767137080430984,0.007710165809839964,0.0340864434838295
7,5.424758455774281e-06,2.2749874915461987e-05,1.228402561537223e-05,9.719215654513391e-09,0.012252233922481537,0.01127693708986044,0.027576010674238205
8,1.2482972124416847e-05,5.347846126824152e-06,3.3156479730678257e-06,2.6111140982720826e-07,0.009894343093037605,0.0056220125406980515,0.017657112330198288
9,6.402602139132796e-06,1.7979927235955984e-07,6.261989256017841e-06,1.1173165148647968e-07,0.008372023701667786,0.0018982001347467303,0.011565836146473885
10,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
11,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
12,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
13,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
14,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
15,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
16,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
17,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
18,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
19,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
20,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
21,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
22,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
23,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
24,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
25,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
26,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
27,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
28,6.402602139132796e-06,1.799003825908585e-07,6.2622129917144775e-06,1.1165197122409154e-07,0.008371956646442413,0.00189818418584764,0.011565777473151684
